EXTKEY,polarizability_form1,polarizability_form2,permettivity_form1,permettivity_form2,permettivity_form3,permettivity_form4,permettivity_polarizability,alpha_kamlet-taft,beta_Kamlet-Taft,pi*_Kamlet-taft,SPP_Katalan,SB_Katalan,SA_Katalan
1-phenylethan-1-one,0.3103589338,0.2368503208,0.8453608217,0.9425287344,0.4581005578,0.8913043456,0.108501264,0.04,0.49,0.9,0.9,0.37,0.04
"1,2-dichloroethane",0.26604557,0.210139,0.75728154,0.9034749,0.43093923,0.8239437,0.090557136,0,0.1,0.81,0.89,0.13,0.03
"1,3-xylene",0.2926211559,0.2263781267,0.318181833,0.5833333499,0.2413793188,0.4117647224,0.054642998,0,0.11,0.47,0.62,0.16,0
"1,4-dioxane",0.2532208788,0.2020560646,0.2874109328,0.54751132,0.2232472364,0.3769470479,0.045108458,0,0.37,0.49,0.7,0.44,0
2-methylbutan-2-ol,0.2452046061,0.1969191287,0.6143958973,0.8269896257,0.3805732524,0.7050147584,0.0749421533,0.28,0.93,0.4,0.83,0.94,0.1
2-methylpropan-1-ol,0.2402786199,0.1937295508,0.8395721991,0.9401197632,0.4563953508,0.8870056546,0.0884172663,0.79,0.84,0.4,0.83,0.83,0.31
2-methylpropan-2-ol,0.23445545,0.18992621,0.7926745,0.91980754,0.44217425,0.8515219,0.08398048,0.41999999,0.93000001,0.41,0.82999998,0.93000001,0.15000001
"2,2,4-trimethylpentane",0.23650934,0.19127177,0.24242425,0.48979592,0.19512196,0.32432434,0.037321325,0,0,0.04,0.53,0.04,0
3-methylbutan-1-ol,0.2452046061,0.1969191287,0.8254799259,0.9341672135,0.4521988515,0.8764669517,0.0890466039,0.84,0.86,0.4,0.81,0.86,0.32
acetic acid,0.22607647,0.18439019,0.63190186,0.83739835,0.38721806,0.72027975,0.071399204,1.12,0.45,0.64,0.78,0.39,0.69
acetonitrile,0.2101689994,0.1736691317,0.9209277778,0.9721758476,0.479418221,0.9458581463,0.0832601462,0.19,0.4,0.66,0.9,0.29,0.04
anisole,0.3025346391,0.2322660987,0.5238095382,0.7674418708,0.3437500062,0.622641523,0.0798414729,0,0.32,0.73,0.82,0.3,0.08
benzene,0.29307044,0.22664693,0.2974239,0.55947137,0.22924188,0.38837922,0.05195697,0,0.1,0.55,0.67,0.12,0
bromobenzene,0.3228726,0.24406931,0.5945946,0.8148148,0.37288135,0.6875,0.0910089,0,0.06,0.79,0.82,0.19,0
butan-1-ol,0.2410302719,0.1942178828,0.846232703,0.942889778,0.4583564692,0.8919502985,0.089021023,0.84,0.84,0.47,0.84,0.81,0.34
butan-2-ol,0.2399025184,0.1934849836,0.8383620643,0.9396135246,0.4560375133,0.8861047801,0.0882364108,0.69,0.8,0.4,0.84,0.89,0.22
butan-2-one,0.2299505089,0.1869591559,0.8508204918,0.9447818903,0.4596990878,0.8953427558,0.0859449534,0.06,0.48,0.6,0.88,0.52,0
butanoate,0.2272788976,0.1851892818,0.625,0.8333333333,0.3846153846,0.7142857143,0.0712266468,0,0.45,0.55,0.8,0.54,0
chlorobenzene,0.30449957,0.23342253,0.6062992,0.82206404,0.37745097,0.6978852,0.08810557,0,0.07,0.68,0.82,0.18,0
cyclohexane,0.2549087,0.20312928,0.25373134,0.50495046,0.20238096,0.33774835,0.041109495,0,0,0,0.56,0.07,0
dichloromethane,0.2535904,0.2022913,0.7255261,0.8880179,0.4204666,0.7985901,0.08505673,0.13,0.1,0.82,0.88,0.18,0.04
"ethane-1,2-diol",0.2586399023,0.2054915801,0.9244332508,0.9734748016,0.4803664925,0.9483204145,0.0987112696,0.9,0.52,0.92,0.93,0.53,0.72
ethanol,0.22036782,0.18057492,0.8870056,0.9592668,0.47005987,0.9217221,0.08488103,0.86,0.75,0.54,0.85,0.66,0.4
ethoxyethane,0.21489605,0.17688431,0.516129,0.7619048,0.34042552,0.6153846,0.060215935,0,0.47,0.24,0.69,0.56,0
ethyl acetate,0.2272788976,0.1851892818,0.625,0.8333333333,0.3846153846,0.7142857143,0.0712266468,0,0.45,0.55,0.8,0.54,0
ethyl benzoate,0.2966043552,0.2287547115,0.625,0.8333333333,0.3846153846,0.7142857143,0.0879825813,0,0.41,0.74,0.84,0.42,0
formamide,0.2666679,0.21052708,0.97309417,0.99086756,0.49318182,0.98190045,0.10382813,0.71,0.48,0.97,0.83,0.41,0.55
heavy water,0.20311809,0.1688264,0.9625281,0.98718935,0.49045315,0.9747028,0.08280144,1.17,0.47,1.09,0.96,0.44,1.06
heptan-1-ol,0.2546452257,0.2029619373,0.774791684,0.9116685813,0.4365535916,0.8376755147,0.0886037627,0.79,0.82,0.4,0.8,0.91,0.3
hexamethylphosphoramide,0.2769613669,0.2168909523,0.90625,0.9666666667,0.4754098361,0.935483871,0.1031120921,0,1.05,0.87,0.93,0.81,0
hexan-1-ol,0.25078785,0.20050392,0.8039216,0.924812,0.4456522,0.86013985,0.08935501,0.8,0.84,0.4,0.81,0.88,0.32
hexane,0.22744274,0.18529804,0.22680412,0.4680851,0.18487394,0.30555555,0.034256782,0,0,-0.11,0.52,0.06,0
methanedithione,0.354892,0.26193377,0.34782606,0.6153846,0.2580645,0.44444442,0.06759582,0,0.07,0.61,0.59,0.1,0
methanesulfinylmethane,0.2825591,0.22030883,0.9380805,0.97847146,0.48402557,0.9578504,0.1066351,0,0.76,1,1,0.65,0.07
methanol,0.20204328,0.16808319,0.9134449,0.9693815,0.4773824,0.9405823,0.08023996,0.98,0.66,0.6,0.86,0.55,0.61
